My Awesome Dealership|123 Car Lane|555-444-3333
789456123|2015|Ford|F-150|Truck|Red|89750|16200.00
456123789|2023|Tesla|Model 3|Sedan|White|8500|42800.00
321654987|2017|Mazda|CX-5|SUV|Blue|61250|19850.00
654321987|2025|Audi|A4|Sedan|Black|2400|52900.00
987654321|2016|Hyundai|Elantra|Sedan|Silver|72340|14500.00
159357486|2022|Volkswagen|Tiguan|SUV|Gray|28750|31200.00
753159486|2018|Kia|Sorento|SUV|White|55680|23400.00
486159753|2024|Lexus|RX 350|SUV|Pearl White|12300|48750.00
852741963|2015|Dodge|Ram 1500|Truck|Blue|95420|18900.00
963852741|2021|Acura|MDX|SUV|Red|33450|39800.00
741852963|2019|Infiniti|Q50|Sedan|Black|42150|28900.00
258369147|2016|Buick|Enclave|SUV|Bronze|68750|21300.00
147852963|2023|Cadillac|XT5|SUV|White|15680|45200.00
369147258|2017|Lincoln|MKZ|Sedan|Gray|58290|24700.00
582639147|2020|Genesis|G90|Sedan|Black|29840|41500.00
123789456|2015|Chrysler|300|Sedan|Silver|78650|17400.00
456852741|2024|Porsche|Macan|SUV|Red|9200|58900.00
789321654|2018|Volvo|XC60|SUV|Blue|48750|29300.00
951753486|2022|Jaguar|F-PACE|SUV|Green|21450|52800.00
486951753|2016|Land Rover|Discovery|SUV|Black|71280|31900.00
654789123|2025|Ferrari|Roma|Coupe|Yellow|1200|245000.00
321987654|2019|Maserati|Ghibli|Sedan|White|35680|43200.00
147963852|2015|Alfa Romeo|Giulia|Sedan|Red|82340|22500.00
369852741|2020|Polestar|2|Sedan|Blue|26890|38400.00
741369852|2017|Mitsubishi|Outlander|SUV|Silver|59630|18750.00
159486753|2024|Rivian|R1T|Truck|Green|7850|68900.00
486753159|2021|Lucid|Air|Sedan|Black|19250|89500.00
753486159|2016|Smart|Fortwo|Coupe|White|45230|12800.00
258741369|2018|Fiat|500X|SUV|Orange|51470|16900.00
